index,class,subclass,prov/terr,municipality,file_name,provider,source_url,licence,format,source_id,street_name,source_class,surface_type,width,geometry,geom_type,inscope_filter,inscope_value,bike_column,bike_value,walk_column,walk_value,multi_column,multi_value
51,multi-use,pedestrian,on,Toronto,pednet,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/3ce9a0a9-c66d-4324-820a-ce44dabb2b46,https://open.toronto.ca/open-data-license/,shp,OBJECTID,,road_type,,,geometry,linestring,road_type,Access Road__Collector__Laneway__Local__Major Arterial__Minor Arterial__Other__Pathway__Trail__Walkway,,,road_type,Access Road__Collector__Laneway__Local__Major Arterial__Minor Arterial__Other__Pathway__Walkway,road_type,Trail
52,multi-use,bikenet,on,Toronto,Bike network data_processed,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/download_resource/b979652c-caa1-4fb7-ac1f-9915949bc64b?format=shp&projection=4326,https://open.toronto.ca/open-data-license/,shp,FIELD_2,FIELD_7,source_cla,FIELD_12,,geometry,linestring,FIELD_15,Contains Bike__Contains Cycle__Contains Edge__Contains MUT__Contains Multi__Contains Park__Contains Sharrows__Contains Signed__Contains  ,FIELD_18,Contains BL__Contains Bike__Contains Sharrows__Contains Signed,,,FIELD_18,Contains Multi__Contains Park
53,biking,,on,Waterloo,Cycling_Infrastructure,City of Waterloo,https://opendata-city-of-waterloo.opendata.arcgis.com/datasets/cycling-infrastructure/explore?location=43.481716%2C-80.548744%2C13.83,https://data.waterloo.ca/pages/open-data-licence,shp,FID_1,STREET,ASSET_TYPE,,,geometry,linestring,,,,,,,,
54,multi-use,activetrans,on,Waterloo,Major_Active_Transportation_Routes,City of Waterloo,https://opendata-city-of-waterloo.opendata.arcgis.com/datasets/major-active-transportation-routes/explore?location=43.490164%2C-80.530982%2C13.14,https://data.waterloo.ca/pages/open-data-licence,shp,FID_1,,,SURFACE,,geometry,linestring,STATUS,Built,,,,,,
55,multi-use,regionaltrails,on,Waterloo,Trails_Regional,City of Waterloo,https://rowopendata-rmw.opendata.arcgis.com/datasets/trails/explore?location=43.456150%2C-80.541100%2C11.72,https://data.waterloo.ca/pages/open-data-licence,shp,OBJECTID,Streetname,TrailType,SurfaceMaterial,Width_m,geometry,linestring,,,,,,,,
56,walking,walkability,on,Waterloo,Walkability_Network,City of Waterloo,https://opendata-city-of-waterloo.opendata.arcgis.com/datasets/walkability-network/explore?location=43.483788%2C-80.537344%2C13.81,https://data.waterloo.ca/pages/open-data-licence,shp,FID_1,,TYPE,,,geometry,linestring,STATUS,Active,,,,,,
57,biking,,on,Welland,Welland_Bicycle_Lanes,City of Welland,https://open.welland.ca/datasets/welland-bicycle-lanes/explore?location=42.984050%2C-79.225900%2C13.28,https://open-welland.hub.arcgis.com/pages/terms-of-use,shp,OBJECTID,StreetName,,Surface,,geometry,linestring,,,,,,,,
58,multi-use,,on,Welland,Welland_City_Wide_Trails,City of Welland,https://open.welland.ca/datasets/welland-city-wide-trails/explore?location=42.984050%2C-79.225900%2C13.28,https://open-welland.hub.arcgis.com/pages/terms-of-use,shp,OBJECTID,,Class,Surface,,geometry,linestring,,,,,,,,
59,walking,,on,Windsor,Sidewalks_UTM83,City of Windsor,https://opendata.citywindsor.ca/Uploads/Sidewalks_UTM83.zip,https://www.citywindsor.ca/opendata/Documents/OpenDataTermsofUse.pdf,shp,FID,,,,,geometry,linestring,,,,,,,,
60,multi-use,,on,Windsor,Trails_UTM83,City of Windsor,https://opendata.citywindsor.ca/Uploads/Trails_UTM83.zip,https://www.citywindsor.ca/opendata/Documents/OpenDataTermsofUse.pdf,shp,OBJECTID,,LAYER,,,geometry,linestring,,,LAYER,Existing Bike Lane__Existing Signed Route,,,LAYER,Multi-UseTrail_HGP
0,multi-use,Trails1,yt,Whitehorse,Whitehorse_Trails_10k,Government of Yukon,https://map-data.service.yukon.ca/GeoYukon/Transportation/Whitehorse_Trails_10k/Whitehorse_Trails_10k.shp.zip,https://open.yukon.ca/data/open-government-licence-yukon,shp,ID,,FEATURE,,,geometry,linestring,,,,,FEATURE,Cutline__Gravel Surface__Trail__,,
1,multi-use,Trails2,yt,Whitehorse,DBO_Trails_NonMotorized_2005,City of Whitehorse,https://data.whitehorse.ca/Transportation/Trails_NonMotorized_2005.zip,,shp,OBJECTID,,DXF_LAYER,,,geometry,linestring,,,CAD_LAYER,Bike Lanes,DXF_LAYER,TRAIL,,
0,multi-use,pathways,sk,Regina,Pathways,City of Regina,https://ckanprodstorage.blob.core.windows.net/opendata/Pathways/SHP_ZIP/shp.Pathways.zip,,shp,OBJECTID,,ASSET_TYPE,,,geometry,linestring,,,ASSET_TYPE,ON STREET BICYCLE ROUTE__,,,ASSET_TYPE,MULTIUSE PATHWAY SYSTEM__BICYCLES ALLOWED ON SIDEWALKS
1,walking,,sk,Regina,PaveLine,City of Regina,https://ckanprodstorage.blob.core.windows.net/opendata/PaveLine/SHP_ZIP/shp.PaveLine.zip,,shp,id,,LAYERNAME,,,geometry,linestring,,,,,,,,
2,walking,,sk,Saskatoon,Sidewalks,City of Saskatoon,https://opendata.arcgis.com/api/v3/datasets/f27f1a0e2b2c4b19a69eaacc935f630f_1/downloads/data?format=shp&spatialRefId=4326,,shp,OBJECTID,,SourceLaye,,,geometry,linestring,,,,,,,,
3,multi-use,,sk,Saskatoon,Walkways_and_Paths,City of Saskatoon,https://opendata.arcgis.com/api/v3/datasets/f27f1a0e2b2c4b19a69eaacc935f630f_2/downloads/data?format=shp&spatialRefId=4326,,shp,OBJECTID,,SourceLaye,,,geometry,linestring,,,SourceLaye,GCWA1BKW$BIKEWAY__GCWD3BKW$BIKEWAY,SourceLaye,GCWA1WW_$WALKWAY__GCWA1BP_$BRIDGE_PEDESTRIAN__GCWD3WW_$WALKWAY__GCWA1WP_$WALK_PARK__GSLA1PPD$PATH_PEDESTRIAN__GCWA1TUN$TUNNEL__GCWA1PW_$WALK_PRIVATE__GSLD3PPD$PATH_PEDESTRIAN,,
0,multi-use,,ab,Airdrie,Airdrie_Pathway,City of Airdrie,https://data-airdrie.opendata.arcgis.com/datasets/airdrie::airdrie-pathway/about,https://data-airdrie.opendata.arcgis.com/pages/our-open-licence,shp,FID,,Class,Material,Width_m,geometry,linestring,,,,,,,,
1,biking,,ab,Calgary,Calgary_Bikeways,City of Calgary,https://data.calgary.ca/api/views/jjqk-9b73/rows.csv?accessType=DOWNLOAD,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,csv,,,BICYCLE_CLASS,,,MULTILINESTRING,multilinestring,STATUS,EXISTING,BICYCLE_CLASS,On-Street Bikeway__Shared Lane__Bicycle Lane__Cycle Track__Neighbourhood Greenway,,,,
2,multi-use,,ab,Calgary,geo_export_4d247d16-47e5-416a-b833-60827b73fff8,City of Calgary,https://data.calgary.ca/api/geospatial/tfmd-grpe?method=export&format=Shapefile,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,shp,trail_id,,type_descr,material,,geometry,linestring,,,,,,,,
3,multi-use,,ab,Chestermere,Pathways,City of Chestermere,https://data-chestermere.opendata.arcgis.com/datasets/Chestermere::pathways-1/explore?location=51.041200%2C-113.834800%2C13.44,https://data-chestermere.opendata.arcgis.com/datasets/Chestermere::pathways-1/explore?location=51.041200%2C-113.834800%2C13.44,shp,GlobalID,,,MATERIAL,WIDTH,geometry,linestring,,,,,,,,
4,walking,,ab,Chestermere,Sidewalks,City of Chestermere,https://data-chestermere.opendata.arcgis.com/datasets/Chestermere::sidewalks-2/explore?location=51.040750%2C-113.831500%2C13.79,https://data-chestermere.opendata.arcgis.com/datasets/Chestermere::sidewalks-2/explore?location=51.040750%2C-113.831500%2C13.79,shp,Asset_ID,,Type,Material,,geometry,linestring,,,,,,,,
5,multi-use,,ab,Cochrane,Cochrane_Pathways,City of Cochrane,https://opendata.arcgis.com/api/v3/datasets/5e3ff5394f02493a9c31f00f4363e676_0/downloads/data?format=shp&spatialRefId=4326,https://www.cochrane.ca/947/Open-Data-Licence,shp,ASSET_ID,,,SURFACE,,geometry,linestring,,,,,,,,
6,biking,,ab,Edmonton,geo_export_bb849d11-83cf-4935-b431-6466dc5ab601,City of Edmonton,https://data.edmonton.ca/api/geospatial/vd4b-a4iv?method=export&format=Shapefile,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,shp,id,street_nam,classifca,,,geometry,linestring,,,,,,,classifica,Walkway / Breezeway__Shared Pathway__Shared Trail
7,walking,,ab,Edmonton,geo_export_6eacaec4-e505-4b53-95cb-625a24d9dcec,City of Edmonton,https://data.edmonton.ca/api/geospatial/4feb-tv8p?method=export&format=Shapefile,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,shp,id,,type,,,geometry,linestring,,,,,,,,
8,multi-use,,ab,Grande Prairie,Trails,City of Grande Prairie,https://opendata.arcgis.com/api/v3/datasets/99d1efcacd444ce2bac966cc862162d4_0/downloads/data?format=shp&spatialRefId=3401,https://www.cityofgp.com/sites/default/files/uploads/policy-procedure/policy_702.pdf,shp,SDE_ID,,,SURFACE_TY,,geometry,linestring,,,,,,,,
9,walking,,ab,Grande Prairie,Sidewalks,City of Grande Prairie,https://opendata.arcgis.com/api/v3/datasets/b4f58774b2a24d1dbf172f4e099b8383_0/downloads/data?format=shp&spatialRefId=3401,https://www.cityofgp.com/sites/default/files/uploads/policy-procedure/policy_702.pdf,shp,SDE_ID,,,SIDEWALK_T,,geometry,linestring,,,,,,,,
10,multi-use,,ab,Lethbridge,Trail_System,City of Lethbridge,https://opendata.arcgis.com/api/v3/datasets/a579955711fa4a41bf8bc517a7acf7d9_0/downloads/data?format=shp&spatialRefId=4326,https://www.lethbridge.ca/Pages/OpenDataLicense.aspx,shp,,,,,,geometry,linestring,,,,,,,,
11,multi-use,,ab,Okotoks,opendata,Town of Okotoks,https://opendata.arcgis.com/api/v3/datasets/e0551b6867044fbeb05381ac9758c5c9_9/downloads/data?format=shp&spatialRefId=4326,https://okotoksmaps-okotoks.hub.arcgis.com/pages/open-data-licence,shp,OBJECTID,,,Surface_Ty,Path_Width,geometry,linestring,,,,,,,,
12,walking,,ab,Okotoks,opendata,Town of Okotoks,https://opendata.arcgis.com/api/v3/datasets/e0551b6867044fbeb05381ac9758c5c9_12/downloads/data?format=shp&spatialRefId=4326,https://okotoksmaps-okotoks.hub.arcgis.com/pages/open-data-licence,shp,OBJECTID,Street_Nam,,,,geometry,linestring,,,,,,,,
13,multi-use,,ab,Parkland County,Trails,Parkland County,https://opendata.arcgis.com/api/v3/datasets/f9363cec2c8c41419ba28839ab68dcb3_0/downloads/data?format=shp&spatialRefId=3402,https://www.parklandcounty.com/en/live-and-play/open-data-license.aspx,shp,OBJECTID,TrailName,,SurfType,,geometry,linestring,,,,,,,,
14,multi-use,,ab,Red Deer,Trails,City of Red Deer,https://data.reddeer.ca/datasets/trails/download/shapefile,https://data.reddeer.ca/About,shp,,,Type,Material,,geometry,polygon,,,,,,,,
15,multi-use,,ab,Saint Albert,Pathways_and_Sidewalks,City of Saint Albert,https://opendata.arcgis.com/api/v3/datasets/daa8e10833c94225b81b275be8974a57_0/downloads/data?format=shp&spatialRefId=3776,https://data.stalbert.ca/pages/licence,shp,OBJECTID,,Type,Material,Width,geometry,linestring,Type,Sidewalk__Stairs__Footbridge__Trail,,,Type,Sidewalk__Stairs__Footbridge,Type,Trail
16,multi-use,,ab,Strathcona County,geo_export_8c42dc50-1dc1-4d87-a7c4-205ca63e9aa7,Strathcona County,https://data.strathcona.ca/api/geospatial/y32e-f4ge?method=export&format=Shapefile,https://data.strathcona.ca/stories/s/bxnd-tfzb,shp,,,class,surface,,geometry,linestring,,,,,,,,
0,biking,,bc,Abbotsford,Cycling_Routes,City of Abbotsford,https://opendata.arcgis.com/api/v3/datasets/9a01c38428bd431e9e5d88d41bc139d6_176/downloads/data?format=shp&spatialRefId=26910,https://opendata-abbotsford.hub.arcgis.com/pages/city-of-abbotsford-open-data-licence,shp,OBJECTID,,TYPE,,,geometry,linestring,,,,,,,,
1,walking,,bc,Abbotsford,Trails,City of Abbotsford,https://opendata.arcgis.com/api/v3/datasets/84ca83e85e444e9a82044b999f053483_177/downloads/data?format=shp&spatialRefId=26910,https://opendata-abbotsford.hub.arcgis.com/pages/city-of-abbotsford-open-data-licence,shp,OBJECTID,NAME,TYPE,MATERIAL,WIDTH,geometry,linestring,,,,,,,,
2,biking,,bc,Burnaby,Bike_Trails,City of Burnaby,https://opendata.arcgis.com/api/v3/datasets/ded8a9769572435e8d6b548a7e864abc_15/downloads/data?format=shp&spatialRefId=4326,https://data.burnaby.ca/pages/open-government-licence,shp,COMPKEY,ST_NAME_C,TYPE,,,geometry,linestring,,,,,,,,
3,multi-use,trails,bc,Burnaby,Trans_Canada_Trail,City of Burnaby,https://opendata.arcgis.com/api/v3/datasets/c9432dfb7de4414d88534ddd3a867bf4_13/downloads/data?format=shp&spatialRefId=4326,https://data.burnaby.ca/pages/open-government-licence,shp,OBJECTID,,,MATERIAL,WIDTH,geometry,linestring,,,,,,,,
4,multi-use,paths,bc,Burnaby,Urban_Paths__26_Trails,City of Burnaby,https://opendata.arcgis.com/api/v3/datasets/a67af76a2e834288be38c5c8f7bbbd93_14/downloads/data?format=shp&spatialRefId=4326,https://data.burnaby.ca/pages/open-government-licence,shp,OBJECTID,,TRAILCLASS,SURFACE,WIDTH,geometry,linestring,,,,,,,,
5,multi-use,,bc,Campbell River,Downloadable_Bike_Routes,City of Campbell River,https://opendata.arcgis.com/api/v3/datasets/090691684a21480aa859654821aae349_0/downloads/data?format=shp&spatialRefId=26910,https://data-crcc.opendata.arcgis.com/datasets/090691684a21480aa859654821aae349_0/explore,shp,OBJECTID,,FAC_TYPE,,,geometry,linestring,USL_STATUS,EXISTING,FAC_TYPE,BICYCLE LANE__LOCAL BIKEWAY,,,FAC_TYPE,MULTI-USE PATHWAY
6,biking,,bc,Chilliwack,Bicycle_Trails,City of Chilliwack,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=SHP&odID=139,https://www.chilliwack.com/main/page.cfm?id=2391,shp,,,CLASS,,,geometry,linestring,,,,,,,,
7,walking,,bc,Chilliwack,Sidewalks,City of Chilliwack,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=SHP&odID=162,https://www.chilliwack.com/main/page.cfm?id=2391,shp,AssetID,,,,,geometry,linestring,,,,,,,,
8,multi-use,,bc,Chilliwack,Trails,City of Chilliwack,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=SHP&odID=164,https://www.chilliwack.com/main/page.cfm?id=2391,shp,AssetID,,TRAIL_TYPE,,,geometry,linestring,,,,,,,,
9,multi-use,cycling,bc,Coquitlam,Cycling_Routes,Coquitlam,https://opendata.arcgis.com/api/v3/datasets/b511b13ea7104eeab79bf6969bbae426_14/downloads/data?format=shp&spatialRefId=4326,https://www.coquitlam.ca/894/Open-Government-Licence,shp,OBJECTID,,FAC_TYPE,SURFACE,WIDTH,geometry,linestring,STATUS,Existing,FAC_TYPE,Bike Lane__Shared Bikeway,,,FAC_TYPE,Multi-Use Pathway (MUP)
10,multi-use,trails,bc,Coquitlam,Maintained_Trails,Coquitlam,https://opendata.arcgis.com/api/v3/datasets/00ff485accf74cb586bd3320b9a09af8_10/downloads/data?format=shp&spatialRefId=4326,https://www.coquitlam.ca/894/Open-Government-Licence,shp,OBJECTID,,TRAIL_CLAS,GENERAL_TY,,geometry,linestring,STATUS,Existing,,,TRAIL_CLAS,Boardwalk__Bridge__Nature Trail__Park Connector__Park Pathway__Stairs__Urban Nature Trail,TRAIL_CLAS,Urban Multi-Use Trail
11,walking,sidewalks,bc,Coquitlam,Sidewalks,Coquitlam,https://opendata.arcgis.com/api/v3/datasets/b511b13ea7104eeab79bf6969bbae426_11/downloads/data?format=shp&spatialRefId=4326,https://www.coquitlam.ca/894/Open-Government-Licence,shp,OBJECTID,,DESCRIPTIO,SURFACE_MA,WIDTH,geometry,linestring,STATUS,OPERATING,,,,,,
12,walking,walkways,bc,Coquitlam,Walkways,Coquitlam,https://opendata.arcgis.com/api/v3/datasets/b511b13ea7104eeab79bf6969bbae426_12/downloads/data?format=shp&spatialRefId=4326,https://www.coquitlam.ca/894/Open-Government-Licence,shp,OBJECTID,,DESCRIPTIO,SURFACE_MA,,geometry,linestring,STATUS,OPERATING,,,,,,
13,multi-use,,bc,Courtenay,Trails,City of Courtenay,https://opendata.arcgis.com/api/v3/datasets/b65706aefec947fab5a4a880c8f263a3_0/downloads/data?format=shp&spatialRefId=4326,https://data-courtenay.opendata.arcgis.com/pages/city-of-courtenay-open-data-licence,shp,OBJECTID,,Class,,,geometry,linestring,Class,Existing Greenway__Non-City Greenway,,,,,,
14,walking,,bc,Kamloops,Sidewalk,City of Kamloops,https://opendata.arcgis.com/api/v3/datasets/edd854a5c4de45a384098d1273b1dad5_12/downloads/data?format=shp&spatialRefId=3157,https://www.kamloops.ca/node/29807,shp,OBJECTID,STREETNAME,,SURFACEMAT,WIDTH,geometry,linestring,,,,,,,,
15,multi-use,,bc,Kamloops,Trails_and_Bikeways,City of Kamloops,https://opendata.arcgis.com/api/v3/datasets/3dff112559bc4fcda83a3a36e75b63ac_24/downloads/data?format=shp&spatialRefId=3157,https://www.kamloops.ca/node/29807,shp,OBJECTID,NAME,TYPE,SURFACEMAT,,geometry,linestring,,,TYPE,BIKE LANE__MARKED WIDE CURB LANE__SIGNED ROUTE,TYPE,PEDESTRIAN SHOULDER__TRAIL,TYPE,MULTI USE
16,multi-use,,bc,Kelowna,Active_Transportation_Network,City of Kelowna,https://opendata.arcgis.com/api/v3/datasets/d96897fe9f6348cfb33a497c8684707a_0/downloads/data?format=shp&spatialRefId=26911,https://apps.kelowna.ca/images/opendata/OpenGovernmentLicence.pdf,shp,OBJECTID,NAME,FacilityTy,,,geometry,linestring,,,FacilityTy,Bike Lane__Cycle Track,FacilityTy,Sidewalk,FacilityTy,"Shared-Use Pathway, Unpaved__Shared-Use Pathway, Paved"
17,walking,,bc,Kelowna,Walkway,City of Kelowna,https://opendata.arcgis.com/api/v3/datasets/5d0af2a1f5ae4ec7905d7efbb97e1976_85/downloads/data?format=shp&spatialRefId=26911,https://apps.kelowna.ca/images/opendata/OpenGovernmentLicence.pdf,shp,OBJECTID,Road,,Surface_Ma,Width,geometry,linestring,,,,,,,,
18,multi-use,,bc,Langley,Trails,City of Langely,https://opendata.arcgis.com/api/v3/datasets/db1c6b25041447f19b0bc7a0fa4e4f82_0/downloads/data?format=shp&spatialRefId=26910,https://www.tol.ca/connect/talk-to-us/freedom-of-information/open-data-license/,shp,OBJECTID,Trail Name,,,,geometry,linestring,,,,,,,,
19,biking,,bc,Maple Ridge,Bike_Routes,City of Maple Ridge,https://opendata.arcgis.com/api/v3/datasets/812e524070764d258b96692297f1c5ba_6/downloads/data?format=shp&spatialRefId=26910,https://opengov.mapleridge.ca/pages/terms-of-use,shp,OBJECTID,,Type,SurfaceTyp,,geometry,linestring,,,,,,,,
20,walking,sidewalks,bc,Maple Ridge,Sidewalks,City of Maple Ridge,https://opendata.arcgis.com/api/v3/datasets/f9f30657f7d0403bb93fbadd95c1aaf4_10/downloads/data?format=shp&spatialRefId=26910,https://opengov.mapleridge.ca/pages/terms-of-use,shp,OBJECTID,,,,,geometry,linestring,,,,,,,,
21,multi-use,,bc,Maple Ridge,Trails,City of Maple Ridge,https://opendata.arcgis.com/api/v3/datasets/7e40bbb83bae4298a63069a55e475241_9/downloads/data?format=shp&spatialRefId=26910,https://opengov.mapleridge.ca/pages/terms-of-use,shp,OBJECTID,TrailName,Trail,TrailSurfa,,geometry,linestring,,,,,,,,
22,walking,walkways,bc,Maple Ridge,Walkways,City of Maple Ridge,https://opendata.arcgis.com/api/v3/datasets/7fa79ea537f4425fb962d632ced5f2df_11/downloads/data?format=shp&spatialRefId=26910,https://opengov.mapleridge.ca/pages/terms-of-use,shp,OBJECTID,,,,,geometry,linestring,,,,,,,,
23,biking,,bc,Nanaimo,BIKE_ROUTES,City of Nanaimo,https://www.nanaimo.ca/GISFiles/shp/Roadnetwork.zip,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,shp,GID,STREETNAME,CLASS,SURFACE,,geometry,linestring,BIKEROUTE,Current,,,,,,
24,walking,sidewalks,bc,Nanaimo,SIDEWALKS,City of Nanaimo,https://www.nanaimo.ca/GISFiles/shp/Roadnetwork.zip,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,shp,GID,,,MATERIAL,WIDTH,geometry,linestring,,,,,,,,
25,walking,trails,bc,Nanaimo,TRAILS,City of Nanaimo,https://www.nanaimo.ca/GISFiles/shp/Trails.zip,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,shp,TRAILID,NAME,,SURFTYPE,,geometry,linestring,,,,,,,,
26,biking,,bc,New Westminster,PARKS_BIKEWAYS,City of New Westminster,http://opendata.newwestcity.ca/downloads/parks-bikeways/PARKS_BIKEWAYS.ZIP,http://opendata.newwestcity.ca/licence,shp,OBJECTID,,,Paved,,geometry,linestring,,,,,,,,
27,multi-use,greenways,bc,New Westminster,PARKS_MAJOR_NAMED_GREENWAYS,City of New Westminster,http://opendata.newwestcity.ca/downloads/parks-major-greenways/PARKS_MAJOR_NAMED_GREENWAYS.ZIP,http://opendata.newwestcity.ca/licence ,shp,OBJECTID,FullName,,,,geometry,linestring,,,,,,,,
28,multi-use,trails,bc,New Westminster,PARKS_TRAILS,City of New Westminster,http://opendata.newwestcity.ca/downloads/park-trails/PARKS_TRAILS.ZIP,http://opendata.newwestcity.ca/licence,shp,OBJECTID,,,Paved,,geometry,linestring,,,Bike,Y,Bike,N,,
29,walking,,bc,North Vancouver,RodSidewalkCenterline,City of North Vancouver,http://geoweb.dnv.org/Products/Data/SHP/RodSidewalkCenterline_shp.zip,http://opendata.newwestcity.ca/licence,shp,OBJECTID,,,,,geometry,linestring,,,,,,,,
30,biking,,bc,North Vancouver,TrnBiking,City of North Vancouver,http://geoweb.dnv.org/Products/Data/SHP/TrnBiking_shp.zip,http://opendata.newwestcity.ca/licence,shp,OBJECTID,STREET,STATUS_RES,AM_MATERIA,,geometry,linestring,STATUS_RES,Contains Existing,,,,,,
31,multi-use,,bc,North Vancouver,TrnTrailPublic,City of North Vancouver,http://geoweb.dnv.org/Products/Data/SHP/TrnTrailPublic_shp.zip,http://opendata.newwestcity.ca/licence,shp,OBJECTID,,PRIMARY_US,AM_MATERIA,,geometry,linestring,,,PRIMARY_US,MOUNTAIN BIKING,,,PRIMARY_US,MULTI-USE
32,biking,,bc,Penticton,Street_Bike_Lane,City of Penticton,https://opendata.arcgis.com/api/v3/datasets/a083f8d8cb004932abab4406b28994bd_822/downloads/data?format=shp&spatialRefId=2955,https://www.penticton.ca/sites/default/files/docs/our-community/maps-gis/2020-07-02-PDF-Open%20Data%20Government%20Licence.pdf,shp,OBJECTID,,,,,geometry,linestring,PROPEXIST,EXI,,,,,,
33,multi-use,,bc,Port Moody,Pathways,City of Port Moody,https://opendata.arcgis.com/api/v3/datasets/9f3aa5c190924e6dafad7cb588716c70_46/downloads/data?format=shp&spatialRefId=4326,https://www.portmoody.ca/en/city-hall/open-data-terms-of-use.aspx,shp,OBJECTID,location,class,material,width,geometry,linestring,,,class,BIKE PATH,class,TRAIL,class,MULTI PATH
34,walking,,bc,Port Moody,Transportation_Sidewalks,City of Port Moody,https://opendata.arcgis.com/api/v3/datasets/63aa875df2b140729fde77f11776a56a_0/downloads/data?format=shp&spatialRefId=4326,https://www.portmoody.ca/en/city-hall/open-data-terms-of-use.aspx,shp,FID,Road_Name,,,Width,geometry,linestring,,,,,,,,
35,biking,,bc,Prince George,Cycle_Network_Existing_OCP_8383,City of Prince George,https://opendata.arcgis.com/api/v3/datasets/c86fe6c11b5e49929aaf3768b1552746_5/downloads/data?format=shp&spatialRefId=26910,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,shp,OBJECTID,,,,,geometry,linestring,,,,,,,,
36,walking,sidewalks,bc,Prince George,Sidewalks,City of Prince George,https://opendata.arcgis.com/api/v3/datasets/f88320dacbae41a19d7c36dadec70bdb_0/downloads/data?format=shp&spatialRefId=26910,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,shp,OBJECTID,Location,,SurfaceMat,Width,geometry,linestring,,,,,,,,
37,multi-use,,bc,Prince George,Trails,City of Prince George,https://opendata.arcgis.com/api/v3/datasets/da68732f23704558b7dbc0d4f3037ced_4/downloads/data?format=shp&spatialRefId=26910,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,shp,OBJECTID,TrailName,,SurfaceMat,Width,geometry,linestring,,,SubType_TE,PBikePath__,SubType_TE,PWalkingPath__,,
38,walking,walkways,bc,Prince George,Walkways,City of Prince George,https://opendata.arcgis.com/api/v3/datasets/f88320dacbae41a19d7c36dadec70bdb_1/downloads/data?format=shp&spatialRefId=26910,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,shp,OBJECTID,Location,,SurfaceMat,Width,geometry,linestring,,,,,,,,
39,walking,,bc,Saanich,Trails,City of Saanich,https://map.saanich.ca/gisdata/Trails/TrailsSHP.zip?_ga=2.59107688.478426350.1635108771-1337301169.1635108771,https://www.saanich.ca/assets/Local~Government/Documents/SaanichDataCatalogueLicence.pdf,shp,,,TYPE,SURFACE,WIDTH,geometry,linestring,,,,,,,,
40,biking,,bc,Surrey,bike_routes,City of Surrey,https://cosmos.surrey.ca/geo_ref/Images/OpenDataArchives/Bike_Routes_JSON.zip,https://data.surrey.ca/pages/open-government-licence-surrey,geojson,,,,MATERIAL,,geometry,linestring,STATUS,__In Service,,,,,,
41,walking,sidewalks,bc,Surrey,sidewalks,City of Surrey,https://cosmos.surrey.ca/geo_ref/Images/OpenDataArchives/Sidewalks_JSON.zip,https://data.surrey.ca/pages/open-government-licence-surrey,geojson,FACILITYID,,,MATERIAL,WIDTH,geometry,linestring,,,,,,,,
42,multi-use,trails,bc,Surrey,trails_and_paths,City of Surrey,https://cosmos.surrey.ca/geo_ref/Images/OpenDataArchives/Trails_and_Paths_JSON.zip,https://data.surrey.ca/pages/open-government-licence-surrey,geojson,,OPERATING_LOCATION,ROUTE_TYPE2,MATERIAL,WIDTH,geometry,linestring,STATUS,In Service,,,ROUTE_TYPE2,General Access and Recreation__Pedestrian Bridge__Walkway,ROUTE_TYPE2,Multi-use Pathway__Universal Access
43,biking,,bc,Vancouver,bikeways,City of Vancouver,https://opendata.vancouver.ca/explore/dataset/bikeways/download/?format=shp&timezone=America/New_York&lang=en,https://opendata.vancouver.ca/pages/licence/,shp,object_id,street_name,bikeway_typ,surface_typ,,geometry,linestring,status,Active,,,,,,
44,multi-use,,bc,Vancouver,greenways,City of Vancouver,https://opendata.vancouver.ca/explore/dataset/greenways/download/?format=shp&timezone=America/New_York&lang=en,https://opendata.vancouver.ca/pages/licence/,shp,,name,,,,geometry,linestring,,,,,,,,
45,multi-use,,bc,Vernon,BikeLanes_COV,City of Vernon,https://opendata.arcgis.com/api/v3/datasets/c8a3d5943dd74aa0bef706ca9a9bd05e_0/downloads/data?format=shp&spatialRefId=3857,https://www.vernon.ca/government-services/maps-gis/open-data-catalogue,shp,OBJECTID,,Major_Cate,,,geometry,linestring,,,Major_Cate,Bike Route__Cycle Track__On-Road Bike Lane,Major_Cate,Unpaved Trail,Major_Cate,Multi-use Path
